kat_deg,moment_Nm,Bmax_szczelina_T,Bsr_szczelina_T
0,-0.1620616119233957,0.9470515588051073,0.5349834606835368
2,-0.05178258943481785,0.9414845977360202,0.5346817855523399
4,-0.1456856605396825,0.9332308567561161,0.5345910485965558
6,-0.4209111843569562,0.9122866767401667,0.5345862636300955
8,-0.5750622129139866,0.8718999040711238,0.5338712294983047
10,-0.487901990996073,0.8747719409608795,0.533205866456015
12,-0.1695380041112208,0.8771171868629256,0.5326331609880985
14,0.1698914225018573,0.8762226979448464,0.5326463882050596
16,0.3729964694857272,0.871642510646488,0.5336556291436628
18,0.315421599048127,0.8932565223833978,0.5336350324291451
20,0.1558557276255589,0.9276662886641903,0.5335100283955634
22,0.03229626855941725,0.9362904935050732,0.5343055648348306
24,0.1893015530991161,0.945873973241628,0.5340106757710612
26,0.4011033368235633,0.9478183117574694,0.5357212902521579
28,0.4992549728370869,0.9435885021234373,0.5360113667283224
30,0.3605579324029365,0.9302981028986083,0.5363577150406548
32,0.05715042528776607,0.9037438153812848,0.5362358009027449
34,-0.1664550368242079,0.9141072010547197,0.5361466451995224
36,-0.1605867608174626,0.9167946112571106,0.5357226572931046
38,0.05535453719138916,0.9226643883688549,0.5360280410803118
40,0.267369651523922,0.920168590903796,0.5363823566023338
42,0.2488587945310697,0.9112007797338483,0.5368664458916738
44,-0.007912087182845761,0.9073145654654657,0.5364583876612482
46,-0.3141449545959684,0.9155573681151681,0.5363030619027883
48,-0.4445725587389758,0.9318763367646148,0.5355823394769403
50,-0.3094378438888657,0.9417437032152868,0.5354591872364878
52,-0.1220968485733188,0.9439016967882619,0.5353298918136378
54,-0.0714086746157611,0.9309550862385104,0.5347660207286267
56,-0.2100317839216466,0.9395377850524869,0.5349754592870878
58,-0.459126736607341,0.9071263268495998,0.534110905496697
60,-0.5870208031683204,0.8749263902771124,0.5336589968675769
